time,NO2,CO,SO2
2026-02-09,3.294691702070519e-05,0.02864855341613285,6.210487966500043e-05
2026-02-10,3.00287716857962e-05,0.0284761078655719,7.689490101050035e-05
2026-02-11,2.7110626350887205e-05,0.0283036623150109,9.168492235600028e-05
2026-02-12,2.4192481015978213e-05,0.02813121676444995,0.0001064749437015
2026-02-13,2.127433568106922e-05,0.027958771213889,0.000121264965047
2026-02-14,1.8356190346160226e-05,0.0277863256633281,0.0001360549863925
2026-02-15,1.5438045011251234e-05,0.0335214920341968,0.000150845007738
2026-02-16,5.595248512690887e-05,0.0315793007612227,9.010878056864917e-05
2026-02-17,5.723252318355001e-05,0.0296371094882487,2.937255339929834e-05
2026-02-18,5.851256124019115e-05,0.0276949182152747,2.7237890249538893e-05
2026-02-19,5.9792599296832286e-05,0.0257527269423007,2.5103227099779442e-05
2026-02-20,6.107263735347343e-05,0.0238105356693267,2.2968563950019995e-05
2026-02-21,6.235267541011456e-05,0.02422152226790775,2.0833900800260544e-05
2026-02-22,6.36327134667557e-05,0.0246325088664888,1.8699237650501097e-05
2026-02-23,6.491275152339685e-05,0.0250434954650699,1.656457450074165e-05
2026-02-24,6.619278958003798e-05,0.025454482063651,1.4429911350982199e-05
2026-02-25,6.747282763667913e-05,0.02586546866223205,1.2295248201222751e-05
2026-02-26,6.875286569332027e-05,0.0262764552608131,1.01605850514633e-05
2026-02-27,7.00329037499614e-05,0.0266874418593942,8.025921901703853e-06
2026-02-28,3.912357351509854e-05,0.0270984284579753,5.891258751944406e-06
2026-03-01,4.70404247607803e-05,0.0266091339290141,6.4419735394949384e-06
2026-03-02,5.495727600646205e-05,0.0261198394000529,6.992688327045471e-06
2026-03-03,6.287412725214381e-05,0.0256305448710918,7.5434031145960034e-06
2026-03-04,7.079097849782556e-05,0.0267329085618257,8.094117902146536e-06
2026-03-05,6.380225386237726e-05,0.0278352722525596,8.644832689697068e-06
2026-03-06,5.681352922692895e-05,0.0264031859114765,9.195547477247601e-06
2026-03-07,4.982480459148064e-05,0.0249710995703935,9.746262264798133e-06
2026-03-08,4.2836079956032336e-05,0.0274899248033761,1.0296977052348666e-05
2026-03-09,3.584735532058403e-05,0.0324195325374603,8.897343650460243e-05
2026-03-10,3.42155205241094e-05,0.0330792516469955,0.0003034484398085
2026-03-11,3.258368572763478e-05,0.0306383101269602,2.8313430448179133e-05
2026-03-12,3.095185093116015e-05,0.028197368606925,0.0001787418877938
2026-03-13,5.818273712066002e-05,0.0274016056209802,0.000201978982659
2026-03-14,6.34712923783809e-05,0.0298000425100326,0.0002252160775242
2026-03-15,5.4520609410246834e-05,0.0293374033644795,0.0002484531723894
2026-03-16,0.0001055628235917,0.0288747642189264,0.00029804397490805
2026-03-17,2.8114674933021888e-05,0.0283423354849218,0.0003476347774267
2026-03-18,0.0001074012689059,0.0278099067509174,0.0003147126408293
2026-03-19,8.907660230756592e-05,0.0278463251888751,0.0003022295655681
2026-03-20,7.075193570923185e-05,0.0278827436268329,0.0002897464903071
2026-03-21,5.242726911089776e-05,0.0279191620647906,0.000277263415046
2026-03-22,3.410260251256368e-05,0.0279555805027484,0.00026478033978490003
2026-03-23,1.57779359142296e-05,0.0279919989407062,0.0002522972645238
2026-03-24,2.5988719244196545e-05,0.0285443837443987,0.00024400988331762502
2026-03-25,3.619950257416349e-05,0.0290967685480912,0.00023572250211145002
2026-03-26,4.641028590413043e-05,0.0296491533517837,0.000227435120905275
2026-03-27,5.6621069234097376e-05,0.0311629325151443,0.0002191477396991
2026-03-28,0.000125204120195,0.0314727071672677,0.00039050688792485007
2026-03-29,0.0001937871711561,0.0317824818193912,0.0005618660361506
2026-03-30,0.0001460105801621,0.0304631665349006,0.00038252320276417785
2026-03-31,9.823398916825371e-05,0.02914385125041,0.00020318036937775567
2026-04-01,5.045739817433059e-05,0.0278245359659194,2.3837535991333425e-05
2026-04-02,4.348375659901649e-05,0.0265052206814288,0.0001809117093216
2026-04-03,3.009073952853214e-05,0.0251859053969383,9.405759919897308e-05
2026-04-04,3.74877790818573e-05,0.02546214312314985,7.203489076346159e-06
2026-04-05,4.4884818635182455e-05,0.0257383808493614,3.2375060982303694e-05
2026-04-06,4.7111278036027215e-05,0.0270739421248435,6.441290133807342e-05
2026-04-07,4.9337737436871976e-05,0.0284095034003257,9.645074169384316e-05
2026-04-08,5.449915261124261e-05,0.0291778557002544,8.961756248027086e-05
2026-04-09,4.913938361520801e-05,0.028513072058558398,4.6452987589860424e-05
2026-04-10,4.377961461917342e-05,0.0278482884168624,3.288412699449999e-06
2026-04-11,3.8419845623138826e-05,0.0271835047751664,0.0001113141406676
2026-04-12,3.306007662710424e-05,0.0265187211334704,7.85741358413361e-05
2026-04-13,2.770030763106964e-05,0.0258539374917745,0.0002312561991857
2026-04-14,2.2340538635035045e-05,0.0253733750432729,0.00015247645569614173
2026-04-15,5.888943633181043e-05,0.027206428349018,7.369671220658347e-05
2026-04-16,3.7732417695224285e-05,0.0284194462001323,0.0007043665391393
2026-04-17,3.86532956326846e-05,0.0296324640512465,1.8668431948754005e-05
2026-04-18,8.56193582876564e-05,0.0308454819023609,0.0003623425145633
2026-04-19,0.0001325854209426282,0.0291711073368787,0.0003536513524724333
2026-04-20,0.0001795514835976,0.0298222918063402,0.0003449601903815667
2026-04-21,0.0001387528597357,0.0324571840465068,0.0003362690282907
2026-04-22,9.795423587395904e-05,0.03161564422771326,0.00072169716925895
2026-04-23,5.715561201213859e-05,0.03077410440891973,0.0011071253102272
2026-04-24,7.676034692849498e-05,0.0299325645901262,0.0005083797404949
2026-04-25,9.636508184485136e-05,0.0290910247713327,0.0003471381889539045
2026-04-26,0.0001947437558555,0.0113314557820558,0.00018589663741290892
2026-04-27,0.0001663043054576,0.014241986349225,2.465508587191334e-05
2026-04-28,0.0001378648550598,0.0171525169163942,0.0001009277177217
2026-04-29,0.00010942540466197968,0.020063047483563398,0.0001772003495716
2026-04-30,8.098595426415936e-05,0.0229735780507326,0.00025347298142145
2026-05-01,5.25465038663242e-05,0.0258841086179018,0.0003297456132713
2026-05-02,5.309272213101698e-05,0.0245112339034676,0.0002807206619763
2026-05-03,5.363894039570975e-05,0.0231383591890335,0.0002316957106813
2026-05-04,5.418515866040252e-05,0.0239611947908997,0.00022004488528175
2026-05-05,8.735336450627074e-05,0.024784030392766,0.0002083940598822
2026-05-06,0.0001234043738804,0.02635333314538,0.0004897574544884
2026-05-07,7.73596839280799e-05,0.0244216434657573,0.0001023330551106
2026-05-08,4.1876050090650097e-05,0.02730790805071585,0.0002680167672224
2026-05-09,5.063912431069184e-05,0.0301941726356744,0.00017617748017071896
2026-05-10,5.940219853073359e-05,0.0281246798112988,8.43381931190379e-05
2026-05-11,0.0001026176323648,0.0260551869869232,0.00033244205769731894
2026-05-12,0.0001175063589471,0.0288765206933021,0.0005805459222756
2026-05-13,7.937606278574094e-05,0.0257339160889386,0.0005733207799494
2026-05-14,3.969486351707019e-05,0.0225913114845752,0.0003038329014088
2026-05-15,9.783369750948624e-05,0.0289671216160058,0.0001946804477483388
2026-05-16,0.0001031246404939,0.0284246299415826,8.552799408787764e-05
2026-05-17,0.0001084155834784,0.0278821382671594,0.0002393398681305888
2026-05-18,0.0001137065264629,0.0281745390966534,0.0003931517421733
2026-05-19,5.985535244690254e-05,0.0284669399261474,2.8890484827570617e-05
2026-05-20,5.515673910849728e-05,0.0309553518891334,7.542404637206346e-05
2026-05-21,0.0001180659916523,0.0322340000420808,0.0002310244696369
2026-05-22,0.00018097524419615,0.0335126481950282,0.0003866248929018
2026-05-23,0.00024388449674,0.0347912963479756,0.0005422253161668
2026-05-24,0.0002439236025868,0.0360699445009231,0.0005697033096414
2026-05-25,0.0002439627084337,0.0317776054143905,0.0005971813031161
2026-05-26,0.0002440018142806,0.0316306315362453,0.0006246592965908
